Case ID,Activity,Resource,Start Timestamp,Complete Timestamp
1,ProcessNextCarReq,CarRequest,1/1/2018 8:59,1/1/2018 9:27
1,NextCall,CarRequest,1/1/2018 8:59,1/1/2018 8:59
1,DoneCarReq,CarRequest,1/1/2018 9:27,1/1/2018 9:27
1,AcceptCarReq,CarRequest,1/1/2018 8:59,1/1/2018 9:27
2,ProcessNextCarReq,CarRequest,1/1/2018 9:27,1/1/2018 9:48
2,NextCall,CarRequest,1/1/2018 9:07,1/1/2018 9:07
2,DoneCarReq,CarRequest,1/1/2018 9:48,1/1/2018 9:48
2,AcceptCarReq,CarRequest,1/1/2018 9:07,1/1/2018 9:34
3,ProcessNextdriverReq,DriverRequest,1/1/2018 9:13,1/1/2018 9:41
3,NextCall,DriverRequest,1/1/2018 9:13,1/1/2018 9:13
3,DoneDriverReq,DriverRequest,1/1/2018 9:41,1/1/2018 9:41
3,AcceptDriverReq,DriverRequest,1/1/2018 9:13,1/1/2018 9:41
4,ProcessNextCarReq,CarRequest,1/1/2018 9:48,1/1/2018 10:12
4,NextCall,CarRequest,1/1/2018 9:18,1/1/2018 9:18
4,DoneCarReq,CarRequest,1/1/2018 10:12,1/1/2018 10:12
4,AcceptCarReq,CarRequest,1/1/2018 9:18,1/1/2018 9:41
5,ProcessNextCarReq,CarRequest,1/1/2018 10:12,1/1/2018 10:39
5,NextCall,CarRequest,1/1/2018 9:22,1/1/2018 9:22
5,DoneCarReq,CarRequest,1/1/2018 10:39,1/1/2018 10:39
5,AcceptCarReq,CarRequest,1/1/2018 9:22,1/1/2018 9:44
6,ProcessNextCarReq,CarRequest,1/1/2018 10:39,1/1/2018 11:07
6,NextCall,CarRequest,1/1/2018 10:20,1/1/2018 10:20
6,DoneCarReq,CarRequest,1/1/2018 11:07,1/1/2018 11:07
6,AcceptCarReq,CarRequest,1/1/2018 10:20,1/1/2018 10:47
7,ProcessNextCarReq,CarRequest,1/1/2018 11:07,1/1/2018 11:28
7,NextCall,CarRequest,1/1/2018 10:41,1/1/2018 10:41
7,DoneCarReq,CarRequest,1/1/2018 11:28,1/1/2018 11:28
7,AcceptCarReq,CarRequest,1/1/2018 10:41,1/1/2018 11:08
8,ProcessNextCarReq,CarRequest,1/1/2018 11:28,1/1/2018 11:51
8,NextCall,CarRequest,1/1/2018 10:45,1/1/2018 10:45
8,DoneCarReq,CarRequest,1/1/2018 11:51,1/1/2018 11:51
8,AcceptCarReq,CarRequest,1/1/2018 10:45,1/1/2018 11:08
9,ProcessNextCarReq,CarRequest,1/1/2018 11:51,1/1/2018 12:19
9,NextCall,CarRequest,1/1/2018 11:04,1/1/2018 11:04
9,DoneCarReq,CarRequest,1/1/2018 12:19,1/1/2018 12:19
9,AcceptCarReq,CarRequest,1/1/2018 11:04,1/1/2018 11:26
10,ProcessNextdriverReq,DriverRequest,1/1/2018 11:07,1/1/2018 11:35
10,NextCall,DriverRequest,1/1/2018 11:07,1/1/2018 11:07
10,DoneDriverReq,DriverRequest,1/1/2018 11:35,1/1/2018 11:35
10,AcceptDriverReq,DriverRequest,1/1/2018 11:07,1/1/2018 11:35
11,ProcessNextdriverReq,DriverRequest,1/1/2018 11:35,1/1/2018 12:02
11,NextCall,DriverRequest,1/1/2018 11:17,1/1/2018 11:17
11,DoneDriverReq,DriverRequest,1/1/2018 12:02,1/1/2018 12:02
11,AcceptDriverReq,DriverRequest,1/1/2018 11:17,1/1/2018 11:44
12,ProcessNextdriverReq,DriverRequest,1/1/2018 12:02,1/1/2018 12:30
12,NextCall,DriverRequest,1/1/2018 11:44,1/1/2018 11:44
12,DoneDriverReq,DriverRequest,1/1/2018 12:30,1/1/2018 12:30
12,AcceptDriverReq,DriverRequest,1/1/2018 11:44,1/1/2018 12:11
13,ProcessNextCarReq,CarRequest,1/1/2018 12:19,1/1/2018 12:42
13,NextCall,CarRequest,1/1/2018 11:56,1/1/2018 11:56
13,DoneCarReq,CarRequest,1/1/2018 12:42,1/1/2018 12:42
13,AcceptCarReq,CarRequest,1/1/2018 11:56,1/1/2018 12:23
14,ProcessNextCarReq,CarRequest,1/1/2018 12:42,1/1/2018 13:02
14,NextCall,CarRequest,1/1/2018 12:09,1/1/2018 12:09
14,DoneCarReq,CarRequest,1/1/2018 13:02,1/1/2018 13:02
14,AcceptCarReq,CarRequest,1/1/2018 12:09,1/1/2018 12:33
15,ProcessNextdriverReq,DriverRequest,1/1/2018 12:30,1/1/2018 12:53
15,NextCall,DriverRequest,1/1/2018 12:13,1/1/2018 12:13
15,DoneDriverReq,DriverRequest,1/1/2018 12:53,1/1/2018 12:53
15,AcceptDriverReq,DriverRequest,1/1/2018 12:13,1/1/2018 12:40
16,ProcessNextdriverReq,DriverRequest,1/1/2018 12:53,1/1/2018 13:21
16,NextCall,DriverRequest,1/1/2018 12:27,1/1/2018 12:27
16,DoneDriverReq,DriverRequest,1/1/2018 13:21,1/1/2018 13:21
16,AcceptDriverReq,DriverRequest,1/1/2018 12:27,1/1/2018 12:50
17,ProcessNextCarReq,CarRequest,1/1/2018 13:02,1/1/2018 13:21
17,NextCall,CarRequest,1/1/2018 12:34,1/1/2018 12:34
17,DoneCarReq,CarRequest,1/1/2018 13:21,1/1/2018 13:21
17,AcceptCarReq,CarRequest,1/1/2018 12:34,1/1/2018 12:57
18,ProcessNextCarReq,CarRequest,1/1/2018 13:21,1/1/2018 13:41
18,NextCall,CarRequest,1/1/2018 12:36,1/1/2018 12:36
18,DoneCarReq,CarRequest,1/1/2018 13:41,1/1/2018 13:41
18,AcceptCarReq,CarRequest,1/1/2018 12:36,1/1/2018 12:57
19,ProcessNextCarReq,CarRequest,1/1/2018 13:41,1/1/2018 14:01
19,NextCall,CarRequest,1/1/2018 12:36,1/1/2018 12:36
19,DoneCarReq,CarRequest,1/1/2018 14:01,1/1/2018 14:01
